timestamp,osc_address,osc_type,osc_data
1755587770947,/eeg,ffffff,"804.2491,1554.1025,1113.2968,742.1978,NaN,NaN"
1755587770947,/eeg,ffffff,"867.1062,1402.1978,1099.1941,800.2198,NaN,NaN"
1755587770947,/eeg,ffffff,"911.8315,1575.0549,1197.1062,844.94507,NaN,NaN"
1755587770947,/eeg,ffffff,"904.57874,1650.0,1250.6959,854.21246,NaN,NaN"
1755587770947,/eeg,ffffff,"871.9414,1488.4249,1110.4762,853.4066,NaN,NaN"
1755587770947,/eeg,ffffff,"875.16486,1326.044,1042.381,861.4652,NaN,NaN"
1755587770947,/eeg,ffffff,"939.6337,1600.8425,1227.326,905.78754,NaN,NaN"
1755587770947,/acc,fff,"-0.04534912,0.16827393,0.9586792"
1755587770947,/acc,fff,"-0.06677246,0.15887451,0.9608154"
1755587770947,/acc,fff,"-0.07476807,0.15447998,0.95928955"
1755587770970,/ppg,fff,"NaN,1.2588996E8,NaN"
1755587770971,/ppg,fff,"NaN,1.25832744E8,NaN"
1755587770971,/ppg,fff,"NaN,1.2573604E8,NaN"
1755587770971,/ppg,fff,"NaN,1.25640144E8,NaN"
1755587770971,/ppg,fff,"NaN,1.2557084E8,NaN"
1755587770972,/ppg,fff,"NaN,1.2554344E8,NaN"
1755587770998,/eeg,ffffff,"985.9707,1646.3737,1241.8315,920.696,NaN,NaN"
1755587770998,/eeg,ffffff,"945.6777,1560.1465,1151.1721,881.6117,NaN,NaN"
1755587770999,/eeg,ffffff,"899.34064,1594.3956,1129.414,859.45056,NaN,NaN"
1755587771000,/eeg,ffffff,"896.9231,1615.751,1176.1538,854.21246,NaN,NaN"
1755587771000,/eeg,ffffff,"889.67035,1644.762,1180.586,849.7802,NaN,NaN"
1755587771001,/eeg,ffffff,"873.1502,1465.8608,1114.9084,838.9011,NaN,NaN"
1755587771002,/eeg,ffffff,"905.78754,1401.7949,1093.1501,869.92676,NaN,NaN"
1755587771002,/eeg,ffffff,"974.2857,1618.5714,1132.6373,901.3553,NaN,NaN"
1755587771003,/eeg,ffffff,"990.40295,1650.0,1152.381,885.2381,NaN,NaN"
1755587771004,/eeg,ffffff,"951.31866,1365.9341,1033.1135,871.9414,NaN,NaN"
1755587771004,/eeg,ffffff,"927.1429,1334.9084,959.3773,879.19415,NaN,NaN"
1755587771004,/eeg,ffffff,"937.2161,1615.348,1056.0806,875.9707,NaN,NaN"
1755587771004,/drlref,ff,"1610109.9,1599633.8"
1755587771004,/drlref,ff,"1610915.8,1599633.8"
1755587771008,/drlref,ff,"1610915.8,1599633.8"
1755587771008,/drlref,ff,"1610915.8,1598827.9"
1755587771008,/drlref,ff,"1611721.6,1598827.9"
1755587771008,/drlref,ff,"1611721.6,1598827.9"
1755587771139,/acc,fff,"-0.062438965,0.18963623,0.97631836"
1755587771139,/acc,fff,"-0.03265381,0.20770264,0.9749756"
1755587771139,/eeg,ffffff,"971.06226,1600.0366,1052.8572,858.24176,NaN,NaN"
1755587771139,/eeg,ffffff,"993.22345,1555.3114,1019.41394,848.5714,NaN,NaN"
1755587771139,/eeg,ffffff,"985.56775,1602.8572,1005.31134,863.8828,NaN,NaN"
1755587771140,/eeg,ffffff,"971.06226,1442.0879,896.9231,861.06226,NaN,NaN"
1755587771140,/eeg,ffffff,"954.94507,1233.37,859.85345,836.4835,NaN,NaN"
1755587771140,/eeg,ffffff,"950.5128,1216.044,881.6117,831.6484,NaN,NaN"
1755587771140,/eeg,ffffff,"910.2198,1378.022,905.38464,826.8132,NaN,NaN"
1755587771140,/eeg,ffffff,"875.56775,1602.8572,952.1245,831.6484,NaN,NaN"
1755587771140,/eeg,ffffff,"923.91943,1349.8169,824.3956,847.3626,NaN,NaN"
1755587771140,/eeg,ffffff,"927.5458,1020.6227,711.1722,827.619,NaN,NaN"
1755587771140,/eeg,ffffff,"891.28204,1463.4432,894.90845,833.663,NaN,NaN"
1755587771140,/eeg,ffffff,"901.75824,1650.0,926.337,882.01465,NaN,NaN"
1755587771140,/ppg,fff,"NaN,1.25451576E8,NaN"
1755587771140,/ppg,fff,"NaN,1.25404032E8,NaN"
1755587771140,/ppg,fff,"NaN,1.2529524E8,NaN"
1755587771140,/ppg,fff,"NaN,1.25225128E8,NaN"
1755587771140,/ppg,fff,"NaN,1.25219488E8,NaN"
1755587771140,/ppg,fff,"NaN,1.25227544E8,NaN"
1755587771140,/acc,fff,"-0.015197754,0.22583008,0.9803467"
1755587771140,/acc,fff,"-0.0044555664,0.23895264,0.9954834"
1755587771140,/acc,fff,"0.0048217773,0.24499512,1.0023804"
1755587771140,/eeg,ffffff,"971.8681,1193.8828,703.5165,921.9048,NaN,NaN"
1755587771140,/eeg,ffffff,"981.53845,1037.9487,643.47986,886.4469,NaN,NaN"
1755587771140,/eeg,ffffff,"917.47253,1512.6007,874.35895,842.9304,NaN,NaN"
1755587771140,/eeg,ffffff,"898.93774,1650.0,884.43225,867.1062,NaN,NaN"
1755587771140,/eeg,ffffff,"916.6667,1408.6447,730.10986,875.9707,NaN,NaN"
1755587771140,/eeg,ffffff,"954.5421,1325.238,620.9158,880.80585,NaN,NaN"
1755587771140,/eeg,ffffff,"953.73627,1551.2821,808.68134,890.87915,NaN,NaN"
1755587771140,/eeg,ffffff,"928.3516,1650.0,887.25275,906.99634,NaN,NaN"
1755587771140,/eeg,ffffff,"933.9927,1341.3553,570.14655,929.9634,NaN,NaN"
1755587771140,/eeg,ffffff,"985.9707,1347.8022,675.7143,946.4835,NaN,NaN"
1755587771140,/eeg,ffffff,"1022.23444,1650.0,970.65936,967.03296,NaN,NaN"
1755587771140,/eeg,ffffff,"1011.75824,1606.4835,836.08057,996.04395,NaN,NaN"
1755587771140,/eeg,ffffff,"1002.8938,1507.3627,591.9048,1016.1905,NaN,NaN"
1755587771140,/eeg,ffffff,"1016.5934,1575.0549,666.8498,1005.7143,NaN,NaN"
1755587771140,/eeg,ffffff,"1039.9634,1650.0,890.4762,994.0293,NaN,NaN"
1755587771140,/eeg,ffffff,"1014.57874,1587.5458,734.94507,978.71796,NaN,NaN"
1755587771140,/eeg,ffffff,"960.989,1543.6263,495.20148,981.53845,NaN,NaN"
1755587771140,/eeg,ffffff,"977.9121,1602.4542,572.5641,1008.1319,NaN,NaN"
1755587771140,/eeg,ffffff,"1015.38464,1645.9707,698.68134,1027.4725,NaN,NaN"
1755587771140,/eeg,ffffff,"987.98535,1570.2197,608.8278,1005.7143,NaN,NaN"
1755587771140,/eeg,ffffff,"946.4835,1485.6044,507.28937,989.59705,NaN,NaN"
1755587771140,/eeg,ffffff,"961.39197,1608.0952,757.9121,983.95605,NaN,NaN"
1755587771140,/eeg,ffffff,"983.1502,1647.9854,964.21246,970.65936,NaN,NaN"
1755587771140,/eeg,ffffff,"969.45056,1563.37,773.22345,963.8095,NaN,NaN"
1755587771140,/acc,fff,"-0.00970459,0.24353027,1.0101318"
1755587771140,/acc,fff,"-0.03112793,0.23492432,1.0116577"
1755587771140,/acc,fff,"-0.052246094,0.23144531,1.0081787"
1755587771149,/ppg,fff,"NaN,1.252074E8,NaN"
1755587771150,/ppg,fff,"NaN,1.25303296E8,NaN"
1755587771150,/ppg,fff,"NaN,1.25291208E8,NaN"
1755587771150,/ppg,fff,"NaN,1.25288792E8,NaN"
1755587771150,/ppg,fff,"NaN,1.25351648E8,NaN"
1755587771150,/ppg,fff,"NaN,1.25357288E8,NaN"
1755587771173,/eeg,ffffff,"908.60803,1553.2968,611.2454,961.79486,NaN,NaN"
1755587771174,/eeg,ffffff,"874.35895,1631.0623,849.3773,952.1245,NaN,NaN"
1755587771174,/eeg,ffffff,"916.6667,1623.8096,909.41394,947.6923,NaN,NaN"
1755587771175,/eeg,ffffff,"927.9487,1622.1978,921.0989,941.2454,NaN,NaN"
1755587771176,/eeg,ffffff,"860.2564,1624.6154,901.75824,927.5458,NaN,NaN"
1755587771176,/eeg,ffffff,"825.2015,1620.1831,788.5348,929.5604,NaN,NaN"
1755587771176,/eeg,ffffff,"872.3443,1629.0476,878.7912,952.9304,NaN,NaN"
1755587771177,/eeg,ffffff,"914.2491,1592.381,737.3626,956.1539,NaN,NaN"
1755587771178,/eeg,ffffff,"871.53845,1588.3517,663.22345,918.68134,NaN,NaN"
1755587771181,/eeg,ffffff,"803.44324,1631.4652,936.4103,901.3553,NaN,NaN"
1755587771181,/eeg,ffffff,"835.6777,1620.586,871.9414,915.4579,NaN,NaN"
1755587771181,/eeg,ffffff,"889.2674,1609.7069,880.0,923.5165,NaN,NaN"
1755587771182,/acc,fff,"-0.066833496,0.2267456,0.99658203"
1755587771182,/acc,fff,"-0.080322266,0.21520996,0.9890747"
1755587771182,/acc,fff,"-0.095947266,0.20587158,0.98828125"
1755587771204,/drlref,ff,"1610915.8,1599633.8"
1755587771205,/drlref,ff,"1610915.8,1599633.8"
1755587771205,/drlref,ff,"1610915.8,1599633.8"
1755587771205,/drlref,ff,"1610915.8,1598827.9"
1755587771206,/drlref,ff,"1610915.8,1598827.9"
1755587771213,/drlref,ff,"1610915.8,1599633.8"
1755587771230,/eeg,ffffff,"846.55676,1620.989,942.4542,914.65204,NaN,NaN"
1755587771231,/eeg,ffffff,"783.2967,1626.227,908.60803,898.93774,NaN,NaN"
1755587771233,/eeg,ffffff,"788.93774,1621.392,756.30035,898.5348,NaN,NaN"
1755587771233,/eeg,ffffff,"829.2308,1621.7949,687.8022,902.96704,NaN,NaN"
1755587771233,/eeg,ffffff,"832.8571,1605.6776,851.79486,908.60803,NaN,NaN"
1755587771233,/eeg,ffffff,"781.28204,1650.0,809.89014,909.41394,NaN,NaN"
1755587771233,/eeg,ffffff,"753.8828,1553.6996,503.26007,906.1905,NaN,NaN"
1755587771233,/eeg,ffffff,"788.5348,1361.9048,445.64102,899.34064,NaN,NaN"
1755587771236,/eeg,ffffff,"806.6667,1563.773,864.68866,883.6264,NaN,NaN"
1755587771236,/eeg,ffffff,"747.4359,1650.0,940.84247,874.7619,NaN,NaN"
1755587771237,/eeg,ffffff,"702.3077,1461.8315,533.8828,871.9414,NaN,NaN"
1755587771237,/eeg,ffffff,"752.674,1405.0183,502.45422,864.68866,NaN,NaN"
1755587771237,/acc,fff,"-0.10272217,0.20117188,0.9828491"
1755587771237,/acc,fff,"-0.10308838,0.19940186,0.97906494"
1755587771237,/acc,fff,"-0.105407715,0.19866943,0.98010254"
1755587771257,/ppg,fff,"NaN,1.25445936E8,NaN"
1755587771257,/ppg,fff,"NaN,1.253452E8,NaN"
1755587771257,/ppg,fff,"NaN,1.25384688E8,NaN"
1755587771257,/ppg,fff,"NaN,1.25337952E8,NaN"
1755587771257,/ppg,fff,"NaN,1.2530652E8,NaN"
1755587771260,/ppg,fff,"NaN,1.25304104E8,NaN"
1755587771284,/eeg,ffffff,"799.41394,1634.2858,878.7912,853.8095,NaN,NaN"
1755587771284,/eeg,ffffff,"761.53845,1635.8975,909.41394,844.5421,NaN,NaN"
1755587771285,/eeg,ffffff,"701.0989,1540.8059,672.8938,833.663,NaN,NaN"
1755587771285,/eeg,ffffff,"729.304,1536.3737,572.5641,822.381,NaN,NaN"
1755587771285,/eeg,ffffff,"795.38464,1596.0073,769.59705,819.5604,NaN,NaN"
1755587771287,/eeg,ffffff,"774.0293,1650.0,791.75824,811.0989,NaN,NaN"
1755587771288,/eeg,ffffff,"707.9487,1255.5311,471.8315,794.57874,NaN,NaN"
1755587771288,/eeg,ffffff,"705.5311,1056.4835,424.68866,813.1135,NaN,NaN"
1755587771288,/eeg,ffffff,"775.2381,1630.2565,793.36993,827.619,NaN,NaN"
1755587771288,/eeg,ffffff,"813.1135,1626.63,862.674,821.1722,NaN,NaN"
1755587771288,/eeg,ffffff,"770.80585,1538.7913,669.67035,813.1135,NaN,NaN"
1755587771288,/eeg,ffffff,"757.50916,1589.1575,606.8132,820.7692,NaN,NaN"
1755587771310,/acc,fff,"-0.10223389,0.20214844,0.9818115"
1755587771312,/acc,fff,"-0.1003418,0.19873047,0.98553467"
1755587771316,/acc,fff,"-0.11413574,0.19482422,0.9844971"
1755587771316,/eeg,ffffff,"812.3077,1620.586,628.5714,821.1722,NaN,NaN"
1755587771316,/eeg,ffffff,"836.08057,1560.1465,609.6337,811.50183,NaN,NaN"
1755587771316,/eeg,ffffff,"774.0293,1444.1025,555.2381,814.3223,NaN,NaN"
1755587771317,/eeg,ffffff,"713.5897,1278.9011,481.0989,815.12823,NaN,NaN"
1755587771317,/eeg,ffffff,"764.7619,1377.2161,528.6447,825.6044,NaN,NaN"
1755587771317,/eeg,ffffff,"838.49817,1371.5751,516.1539,844.5421,NaN,NaN"
1755587771317,/eeg,ffffff,"800.6227,1251.0989,503.663,825.6044,NaN,NaN"
1755587771317,/eeg,ffffff,"735.34796,1448.9377,578.20514,792.96704,NaN,NaN"
1755587771318,/eeg,ffffff,"761.13556,1530.3297,599.9634,806.26373,NaN,NaN"
1755587771318,/eeg,ffffff,"838.0952,1346.9963,511.3187,829.6337,NaN,NaN"
1755587771318,/eeg,ffffff,"832.8571,994.0293,453.69965,834.87177,NaN,NaN"
1755587771318,/eeg,ffffff,"776.8498,1298.2417,618.0952,822.7839,NaN,NaN"
1755587771362,/ppg,fff,"NaN,1.25316192E8,NaN"
1755587771362,/ppg,fff,"NaN,1.25247696E8,NaN"
1755587771362,/ppg,fff,"NaN,1.25242048E8,NaN"
1755587771363,/ppg,fff,"NaN,1.25221904E8,NaN"
