0,1,2,3,4,5,6,7
27.0,-17.08984375,-53.22265625,-18.06640625,-45.41015625,0.0,1755739232.789789,0.0
27.0,-0.48828125,-46.875,-9.27734375,-8.30078125,0.0,1755739232.7924688,0.0
27.0,-21.484375,-37.59765625,-3.41796875,-38.57421875,0.0,1755739232.7951486,0.0
27.0,-61.03515625,-36.1328125,-2.9296875,-83.984375,0.0,1755739232.7978282,0.0
27.0,-59.5703125,-46.38671875,-6.8359375,-83.49609375,0.0,1755739232.800508,0.0
27.0,-43.45703125,-60.546875,-8.7890625,-61.03515625,0.0,1755739232.8031878,0.0
27.0,-76.171875,-78.61328125,-22.94921875,-70.3125,0.0,1755739232.8058674,0.0
27.0,-92.28515625,-82.51953125,-35.15625,-93.75,0.0,1755739232.8085473,0.0
28.0,-54.6875,-61.03515625,-21.484375,-85.44921875,0.0,1755739232.8123002,0.0
28.0,-51.26953125,-49.31640625,-20.99609375,-74.70703125,0.0,1755739232.8160532,0.0
28.0,-68.359375,-64.453125,-20.01953125,-79.1015625,0.0,1755739232.819806,0.0
28.0,-70.80078125,-81.54296875,-10.25390625,-85.9375,0.0,1755739232.823559,0.0
28.0,-60.05859375,-58.10546875,-11.23046875,-78.61328125,0.0,1755739232.827312,0.0
28.0,-47.8515625,-30.76171875,-16.6015625,-64.94140625,0.0,1755739232.8310647,0.0
28.0,-69.82421875,-33.203125,-26.3671875,-74.21875,0.0,1755739232.8348176,0.0
28.0,-79.58984375,-32.2265625,-16.6015625,-86.42578125,0.0,1755739232.8385706,0.0
28.0,-62.01171875,-50.29296875,-9.765625,-81.54296875,0.0,1755739232.8423235,0.0
28.0,-31.73828125,-62.98828125,-16.6015625,-54.6875,0.0,1755739232.8460765,0.0
28.0,-31.25,-47.8515625,-1.46484375,-41.015625,0.0,1755739232.8498294,0.0
28.0,-57.6171875,-33.203125,-2.44140625,-71.77734375,0.0,1755739232.8535824,0.0
29.0,-62.98828125,-20.01953125,-16.11328125,-87.890625,0.0,1755739232.8574417,0.0
29.0,-51.26953125,-33.69140625,-7.8125,-70.3125,0.0,1755739232.861301,0.0
29.0,-36.62109375,-62.01171875,0.9765625,-55.6640625,0.0,1755739232.8651602,0.0
29.0,-61.5234375,-64.453125,-8.30078125,-73.2421875,0.0,1755739232.8690195,0.0
29.0,-81.54296875,-45.41015625,-10.7421875,-91.796875,0.0,1755739232.8728788,0.0
29.0,-53.22265625,-36.62109375,-11.23046875,-70.80078125,0.0,1755739232.876738,0.0
29.0,-24.90234375,-58.10546875,-16.6015625,-40.52734375,0.0,1755739232.880597,0.0
29.0,-47.8515625,-55.6640625,-12.6953125,-48.828125,0.0,1755739232.8844564,0.0
29.0,-70.80078125,-44.921875,-19.53125,-80.56640625,0.0,1755739232.8883157,0.0
29.0,-47.8515625,-50.78125,-20.99609375,-76.66015625,0.0,1755739232.892175,0.0
29.0,-40.52734375,-41.015625,-7.8125,-49.8046875,0.0,1755739232.8960342,0.0
29.0,-51.26953125,-26.3671875,10.25390625,-51.7578125,0.0,1755739232.8998935,0.0
30.0,-70.80078125,-24.4140625,8.7890625,-80.56640625,0.0,1755739232.9047163,0.0
30.0,-83.984375,-25.87890625,-7.8125,-105.46875,0.0,1755739232.9095387,0.0
30.0,-82.51953125,-23.4375,-0.9765625,-101.5625,0.0,1755739232.9143615,0.0
30.0,-91.796875,-13.671875,-1.46484375,-97.65625,0.0,1755739232.9191842,0.0
30.0,-115.72265625,-16.11328125,-14.6484375,-130.859375,0.0,1755739232.924007,0.0
30.0,-137.6953125,-45.8984375,-23.4375,-162.109375,0.0,1755739232.9288297,0.0
30.0,-133.7890625,-46.875,-26.85546875,-154.78515625,0.0,1755739232.9336522,0.0
30.0,-140.13671875,-11.71875,-32.71484375,-159.66796875,0.0,1755739232.938475,0.0
30.0,-174.8046875,-8.30078125,-39.0625,-202.63671875,0.0,1755739232.9432976,0.0
30.0,-209.9609375,-70.80078125,-24.4140625,-236.81640625,0.0,1755739232.94812,0.0
30.0,-208.0078125,-58.10546875,-1.46484375,-230.95703125,0.0,1755739232.9529428,0.0
30.0,-208.984375,26.3671875,-27.34375,-223.14453125,0.0,1755739232.9577656,0.0
31.0,-247.0703125,28.80859375,-47.36328125,-255.859375,0.0,1755739232.9628184,0.0
31.0,-263.671875,4.8828125,-7.32421875,-284.1796875,0.0,1755739232.9678712,0.0
31.0,-254.39453125,-3.90625,40.0390625,-269.53125,0.0,1755739232.972924,0.0
31.0,-230.95703125,-42.48046875,42.96875,-248.53515625,0.0,1755739232.9779768,0.0
31.0,-225.09765625,-58.59375,16.6015625,-237.3046875,0.0,1755739232.9830296,0.0
31.0,-226.5625,-30.2734375,22.94921875,-236.81640625,0.0,1755739232.9880824,0.0
31.0,-214.35546875,-7.8125,26.85546875,-236.328125,0.0,1755739232.9931352,0.0
31.0,-187.5,14.16015625,21.484375,-204.1015625,0.0,1755739232.998188,0.0
31.0,-179.6875,18.5546875,26.3671875,-184.5703125,0.0,1755739233.0032408,0.0
31.0,-195.3125,-26.3671875,23.92578125,-192.3828125,0.0,1755739233.0082936,0.0
31.0,-186.5234375,-41.015625,31.73828125,-189.94140625,0.0,1755739233.0133464,0.0
