timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755583558.4147282,845.7509,915.4579,410.18314,838.49817,nan,nan,,,,,,,,,
1755583558.4203794,807.0696,502.05127,332.41757,845.34796,nan,nan,,,,,,,,,
1755583558.4260304,735.7509,613.663,402.12454,825.6044,nan,nan,,,,,,,,,
1755583558.4285014,,,,,,,-0.31176758,0.11248779,0.989624,,,,,,
1755583558.4316816,805.8608,1207.9854,535.89746,851.39197,nan,nan,,,,,,,,,
1755583558.4373329,1027.8755,1125.7876,457.72894,995.64105,nan,nan,,,,,,,,,
1755583558.4386599,,,,,,,,,,1602857.1,1599633.8,,,,
1755583558.4429839,1153.9927,1016.99634,384.3956,1113.6996,nan,nan,,,,,,,,,
1755583558.4486351,1174.1392,1230.5494,477.87546,1208.3883,nan,nan,,,,,,,,,
1755583558.4542863,1264.7986,1367.5458,522.6007,1298.2417,nan,nan,,,,,,,,,
1755583558.4553044,,,,,,,-0.25408936,0.16644287,0.94970703,,,,,,
1755583558.4599373,1409.0476,1292.6007,513.3333,1359.8901,nan,nan,,,,,,,,,
1755583558.4655886,1440.4762,1274.0659,468.60806,1379.2307,nan,nan,,,,,,,,,
1755583558.4712398,1361.0989,1243.0403,424.2857,1371.5751,nan,nan,,,,,,,,,
1755583558.4768908,1331.6849,1189.8535,446.04395,1371.978,nan,nan,,,,,,,,,
1755583558.4821074,,,,,,,-0.18603516,0.21386719,0.91381836,,,,,,
1755583558.4825420,1387.2894,948.49817,343.2967,1385.2748,nan,nan,,,,,,,,,
1755583558.4881933,1353.4432,776.4469,309.45056,1326.044,nan,nan,,,,,,,,,
1755583558.4936759,,,,,,,,,,1603663.0,1599633.8,,,,
1755583558.4938443,1222.8938,1288.1685,506.88644,1256.337,nan,nan,,,,,,,,,
1755583558.4994955,1201.5385,1417.1062,487.94873,1301.4652,nan,nan,,,,,,,,,
1755583558.5051467,1242.6373,1236.9963,477.87546,1306.3004,nan,nan,,,,,,,,,
1755583558.5089102,,,,,,,-0.10650635,0.29241943,0.98535156,,,,,,
1755583558.5107977,1232.5641,1337.326,550.40295,1229.7435,nan,nan,,,,,,,,,
1755583558.5164490,1176.1538,1427.1794,540.7326,1176.9597,nan,nan,,,,,,,,,
1755583558.5221002,1135.4579,1218.4615,464.1758,1208.7913,nan,nan,,,,,,,,,
1755583558.5277512,1157.2161,1129.011,476.66666,1226.1172,nan,nan,,,,,,,,,
1755583558.5334024,1177.3627,1314.359,579.011,1165.2748,nan,nan,,,,,,,,,
1755583558.5357132,,,,,,,-0.05041504,0.30847168,0.96875,,,,,,
1755583558.5390537,1138.6813,1303.8828,530.65936,1125.3846,nan,nan,,,,,,,,,
1755583558.5447049,1091.9414,1047.2161,430.7326,1134.249,nan,nan,,,,,,,,,
1755583558.5486920,,,,,,,,,,1604468.9,1599633.8,,,,
1755583558.5503559,1100.0,685.38464,416.63004,1156.0073,nan,nan,,,,,,,,,
1755583558.5560071,1112.4908,823.1868,492.38095,1109.6703,nan,nan,,,,,,,,,
1755583558.5616584,1073.0037,1189.0476,540.7326,1043.1868,nan,nan,,,,,,,,,
1755583558.5625162,,,,,,,-0.064453125,0.31207275,1.0238037,,,,,,
1755583558.5673094,1040.3663,1058.9011,450.87912,1053.663,nan,nan,,,,,,,,,
1755583558.5729606,1067.7656,943.2601,435.9707,1096.7766,nan,nan,,,,,,,,,
1755583558.5786119,1121.7583,1206.3737,587.47253,1071.7949,nan,nan,,,,,,,,,
1755583558.5842628,1158.8279,1337.7289,605.6044,1040.3663,nan,nan,,,,,,,,,
1755583558.5893190,,,,,,,-0.025512695,0.31219482,0.9975586,,,,,,
1755583558.5899141,1104.0293,1082.2711,502.05127,1035.9341,nan,nan,,,,,,,,,
1755583558.5955653,1041.5751,1019.011,512.9304,1037.1428,nan,nan,,,,,,,,,
1755583558.6012163,919.4872,1618.9744,1126.5934,994.43225,nan,nan,,,,,,,,,
1755583558.6037080,,,,,,,,,,1603663.0,1599633.8,,,,
1755583558.6068676,795.78754,1625.8242,1053.663,884.83514,nan,nan,,,,,,,,,
1755583558.6125188,861.8681,1596.0073,1045.6044,876.77655,nan,nan,,,,,,,,,
1755583558.6161220,,,,,,,0.002746582,0.29003906,0.9760742,,,,,,
1755583558.6181698,870.32965,1413.8828,981.53845,835.2747,nan,nan,,,,,,,,,
1755583558.6238210,778.0586,1266.8132,943.2601,785.31134,nan,nan,,,,,,,,,
1755583558.6294723,730.5128,1257.9487,965.0183,770.80585,nan,nan,,,,,,,,,
1755583558.6351233,814.7253,1262.7839,980.32965,767.5824,nan,nan,,,,,,,,,
1755583558.6407745,851.79486,959.3773,819.5604,702.3077,nan,nan,,,,,,,,,
1755583558.6429248,,,,,,,0.029724121,0.26660156,0.9694214,,,,,,
1755583558.6464257,760.7326,1083.4799,900.14655,607.2161,nan,nan,,,,,,,,,
1755583558.6520767,657.98535,1315.1648,1013.36993,623.3333,nan,nan,,,,,,,,,
