timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755585013.6118028,817.9487,828.022,911.8315,813.5165,nan,nan,,,,,,,,,
1755585013.6151121,,,,,,,,,,,,,nan,115362200.0,nan
1755585013.6157138,815.9341,830.4396,917.0696,823.5897,nan,nan,,,,,,,,,
1755585013.6196251,800.2198,830.84247,915.4579,833.663,nan,nan,,,,,,,,,
1755585013.6227610,,,,,,,-0.24438477,0.09295654,0.9658203,,,,,,
1755585013.6235361,811.0989,831.6484,922.71063,861.8681,nan,nan,,,,,,,,,
1755585013.6274471,814.7253,825.2015,922.3077,854.21246,nan,nan,,,,,,,,,
1755585013.6307578,,,,,,,,,,,,,nan,115402490.0,nan
1755585013.6313581,798.20514,816.7399,908.20514,824.3956,nan,nan,,,,,,,,,
1755585013.6340332,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.6352692,795.78754,828.4249,918.2784,834.0659,nan,nan,,,,,,,,,
1755585013.6391804,794.57874,828.4249,923.5165,833.2601,nan,nan,,,,,,,,,
1755585013.6422198,,,,,,,-0.23828125,0.09832764,0.97546387,,,,,,
1755585013.6430914,810.293,819.15753,917.8755,816.7399,nan,nan,,,,,,,,,
1755585013.6464033,,,,,,,,,,,,,nan,115373480.0,nan
1755585013.6470025,818.3516,820.7692,908.60803,801.4286,nan,nan,,,,,,,,,
1755585013.6509135,801.8315,832.0513,912.23444,815.12823,nan,nan,,,,,,,,,
1755585013.6548245,792.1612,833.663,920.293,828.022,nan,nan,,,,,,,,,
1755585013.6587358,799.41394,830.4396,915.8608,824.3956,nan,nan,,,,,,,,,
1755585013.6616786,,,,,,,-0.23443604,0.10675049,0.98339844,,,,,,
1755585013.6620491,,,,,,,,,,,,,nan,115446820.0,nan
1755585013.6626468,822.7839,836.8865,919.0842,829.2308,nan,nan,,,,,,,,,
1755585013.6665578,832.4542,842.9304,922.71063,833.663,nan,nan,,,,,,,,,
1755585013.6692426,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.6704688,811.9048,835.2747,913.0403,832.4542,nan,nan,,,,,,,,,
